year,Case_Number,call_type,x,y
2023,23-019997,Domestic Abuse-In Progress,480.7516554479274,4980.32018717065
2023,23-019997,Domestic Abuse-In Progress,480.63800847416474,4980.174651854518
2024,24-369939,Domestic Abuse-In Progress,480.7516554479274,4980.32018717065
2024,24-369939,Domestic Abuse-In Progress,480.63800847416474,4980.174651854518
2025,25-295615,Domestic Abuse-In Progress,480.7516554479274,4980.32018717065
2025,25-295615,Domestic Abuse-In Progress,480.63800847416474,4980.174651854518
2025,25-025129,Domestic Abuse-In Progress,480.7516554479274,4980.32018717065
2025,25-025129,Domestic Abuse-In Progress,480.63800847416474,4980.174651854518
2022,22-065957,Domestic Abuse Report Only,480.9096393596626,4979.146459602403
2022,22-065957,Domestic Abuse Report Only,480.90263684603974,4979.212282240742
2023,23-228118,Domestic Abuse Report Only,480.9096393596626,4979.146459602403
2023,23-228118,Domestic Abuse Report Only,480.90263684603974,4979.212282240742
2023,23-073151,Assault in Progress,480.9096393596626,4979.146459602403
2023,23-073151,Assault in Progress,480.90263684603974,4979.212282240742
2025,25-077076,Domestic Abuse-In Progress,480.9096393596626,4979.146459602403
2025,25-077076,Domestic Abuse-In Progress,480.90263684603974,4979.212282240742
2025,25-077076,Domestic Abuse-In Progress,480.9096393596626,4979.146459602403
2025,25-077076,Domestic Abuse-In Progress,480.90263684603974,4979.212282240742
2023,23-045229,Domestic Abuse-In Progress,480.98257231435576,4978.9049365852425
2022,22-132608,Assault in Progress,481.05920315433434,4979.71381801851
2022,22-174281,Domestic Abuse-In Progress,481.05920315433434,4979.71381801851
2022,22-235509,Domestic Abuse Report Only,481.05920315433434,4979.71381801851
2023,23-013899,Threats,481.05920315433434,4979.71381801851
2023,23-128279,Domestic,481.05920315433434,4979.71381801851
2023,23-149184,Domestic Abuse-In Progress,481.05920315433434,4979.71381801851
2023,23-245132,Domestic Abuse Report Only,481.05920315433434,4979.71381801851
2023,23-340126,Domestic Abuse Report Only,481.05920315433434,4979.71381801851
2023,23-323729,Domestic Abuse Report Only,481.05920315433434,4979.71381801851
2024,24-097609,Domestic Abuse Report Only,481.05920315433434,4979.71381801851
2024,24-205870,Domestic Abuse Report Only,481.05920315433434,4979.71381801851
2025,25-013587,Domestic Abuse Report Only,481.05920315433434,4979.71381801851
2025,25-030025,Domestic Abuse Report Only,481.05920315433434,4979.71381801851
2025,25-158251,Domestic Abuse-In Progress,481.05920315433434,4979.71381801851
2025,25-205500,Domestic Abuse Report Only,481.05920315433434,4979.71381801851
2022,22-090586,Assault in Progress,481.3921839169299,4978.460801301946
2022,22-090586,Assault in Progress,481.39085516650954,4978.605795570186
2023,23-230374,Assist Other Agency,481.3921839169299,4978.460801301946
